id,name,area.name,employer.name,salary.from,salary.to,salary.currency,salary.gross
116784677,Программист-стажер,Барнаул,Комплексная Интеграция,25000.0,,RUR,False
116843734,Программист,Ростов-на-Дону,Парус-Дон,55000.0,95000.0,RUR,True
115623553,React Developer,Москва,AbeloHost B.V.,1200.0,1700.0,EUR,False
115719259,Frontend-разработчик (React),Санкт-Петербург,AT-WORK,70000.0,,RUR,False
116479652,Frontend-разработчик (Vue 3),Москва,TradeLink,1500.0,2000.0,USD,True
116767266,Middle Frontend-разработчик (React),Москва,Перескоков Сергей Викторович,200000.0,300000.0,RUR,True
117028401,Unity/C# developer (Middle / Middle+),Москва,Голдовский Игорь Витальевич,120000.0,200000.0,RUR,True
112761946,Junior Java Developer,Ростов-на-Дону,JavaCode,75000.0,,RUR,False
116499299,Frontend developer (Junior/Junior+),Екатеринбург,VICTORY group,80000.0,140000.0,RUR,False
116752398,Frontend-разработчик,Воронеж,Актив Компьютерс,50000.0,75000.0,RUR,False
117045898,Разработчик .Net/С#,Москва,Плейспартс,180000.0,,RUR,False
117047009,Программист-разработчик,Оренбург,Мегаполис Групп,100000.0,,RUR,False
117079472,C# разработчик,Воронеж,Kvando Technologies,,180000.0,RUR,False
117197031,Backend-разработчик,Москва,Таранов Антон Юрьевич,1200.0,1500.0,USD,False
116561890,Программист 1С,Чебоксары,Пионер-лизинг,100000.0,,RUR,True
116720212,Junior Blockchain Developer,Москва,SHiFT AM,250000.0,,RUR,False
116837180,Frontend-разработчик,Екатеринбург,Студия ИСКРА,60000.0,75000.0,RUR,False
116073008,Frontend-разработчик,Москва,Литвинов Денис,200000.0,,RUR,False
116464254,Python developer (Junior+),Москва,М1НТ,60000.0,,RUR,False
